# Errors on DTD
bestfit plotpoint 1sigma_low 1sigma_up 2sigma detection? det_sig
1.214641384154483e-06 9.821513472210044e-05 1.2145428748906959e-06 3.99588430772464e-05 9.700049333794596e-05 True 0.025044024877744063
5.62228763366796e-07 2.7025613484792568e-05 5.621238825138845e-07 9.530963110877137e-06 2.6463384721425772e-05 True 0.04249106977699599
7.380492160388596e-07 4.3635500700878326e-05 7.379256892426595e-07 1.4621472291208618e-05 4.289745148483946e-05 True 0.03440993301430488
2.209718487909618e-07 1.005084858116217e-05 2.2094174134840822e-07 3.5651459152384417e-06 9.829876732371208e-06 True 0.04495923088501598
1.2834979484771386e-07 5.002263532011293e-06 1.2834617346523554e-07 1.7182801523891967e-06 4.873913737163579e-06 True 0.05266806175458011
7.162647833954468e-07 2.8259638460704188e-05 7.161571471749859e-07 7.974110458081272e-06 2.754337367730874e-05 True 0.05200995286830331
3.644583861216597e-07 1.3347901597933863e-05 3.6442961454872887e-07 3.879844734864181e-06 1.2983443211812204e-05 True 0.056142023371747674
2.657110474484459e-07 2.359332816919174e-05 2.656981185932998e-07 9.093216871297012e-06 2.3327617121743297e-05 True 0.022780813493443436
1.482044470310572e-07 1.3708137521722083e-05 1.4813858268596491e-07 5.7712684163632085e-06 1.3559933074691025e-05 True 0.021859170869755074
2.412027510684887e-07 2.0608989315027554e-05 2.411017505000785e-07 8.93102805609367e-06 2.0367786563959066e-05 True 0.023684728854660973
1.2548869380025655e-05 1.2548869380025655e-05 2.3714793798455167e-06 2.003176770571445e-06 3.832063222430461e-06 False 6.549406234517507
1.942682314812551e-05 1.942682314812551e-05 1.1512139103935382e-06 1.3162915320219312e-06 2.7857183618256533e-06 False 13.94744236484403
1.669972583815325e-05 1.669972583815325e-05 2.1584673445367477e-06 2.3302828056730445e-06 4.662350568707114e-06 False 7.163650863252929
2.11958611633753e-05 2.11958611633753e-05 2.204642488536963e-06 2.0975612314321237e-06 4.663105032485675e-06 False 9.090878723817557
9.055243344437388e-06 9.055243344437388e-06 1.8158706665662974e-06 1.6835337612933555e-06 3.813715819801722e-06 False 4.748777188599321
1.031767557806493e-05 1.031767557806493e-05 5.693730113357821e-07 8.027549103443226e-07 1.3522753418193248e-06 False 15.259725972942363
